Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Smog Rating,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
HONDA Civic 2Dr,2,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV02.0DH3,small car,3,28,39,32,7,Yes
HONDA Civic 2Dr,2,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV02.0DH3,small car,3,28,39,32,7,Yes
HONDA Civic 4Dr,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHNXV01.5362,midsize car,7,32,42,36,8,Yes
HONDA Civic 4Dr,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHNXV01.5362,midsize car,7,32,42,36,8,Yes
HONDA Civic 4Dr,1.5,4,CVT,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV01.5TH2,midsize car,3,32,42,36,8,Yes
HONDA Civic 4Dr,1.5,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV01.5TH2,midsize car,3,32,42,36,8,Yes
HONDA Civic 4Dr,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV01.5TH2,midsize car,3,31,42,35,8,Yes
HONDA Civic 4Dr,1.5,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV01.5TH2,midsize car,3,31,42,35,8,Yes
HONDA Civic 4Dr,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV01.5VH3,midsize car,3,28,38,32,7,Yes
HONDA Civic 4Dr,1.5,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV01.5VH3,midsize car,3,28,38,32,7,Yes
HONDA Civic 4Dr,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHNXV02.0C63,midsize car,7,31,40,34,8,Yes
HONDA Civic 4Dr,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHNXV02.0C63,midsize car,7,31,40,34,8,Yes
HONDA Civic 4Dr,2,4,CVT,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV02.0DH3,midsize car,3,31,40,34,8,Yes
HONDA Civic 4Dr,2,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV02.0DH3,midsize car,3,31,40,34,8,Yes
HONDA Civic 4Dr,2,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV02.0DH3,midsize car,3,28,40,32,7,Yes
HONDA Civic 4Dr,2,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV02.0DH3,midsize car,3,28,40,32,7,Yes
HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHNXV01.5362,large car,7,31,40,34,8,Yes
HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHNXV01.5362,large car,7,31,40,34,8,Yes
HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV01.5TH2,large car,3,31,40,34,8,Yes
HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV01.5TH2,large car,3,31,40,34,8,Yes
HONDA Civic 5Dr,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV01.5TH2,large car,3,29,38,33,8,Yes
HONDA Civic 5Dr,1.5,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV01.5TH2,large car,3,29,38,33,8,Yes
HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHNXV01.5362,large car,7,30,36,32,7,Yes
HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHNXV01.5362,large car,7,30,36,32,7,Yes
HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV01.5TH2,large car,3,30,36,32,7,Yes
