Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
MITSUBISHI Outlander,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,S2,8MTXT03.0G6G,SUV,9.5,17,24,20,6,yes
NISSAN 350Z,3.5,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,8NSXV03.5GAB,small car,7,17,24,20,6,yes
NISSAN 350Z,3.5,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8NSXV03.5GAB,small car,7,18,25,20,6,yes
NISSAN 350Z Roadster,3.5,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8NSXV03.5GAB,small car,7,17,24,20,6,yes
NISSAN Altima,2.5,(4 cyl),Auto-AV,2WD,Gasoline,CA,S2,8NSXV02.585A,midsize car,9.5,23,31,26,8,yes
NISSAN Altima,2.5,(4 cyl),Man-6,2WD,Gasoline,CA,S2,8NSXV02.585A,midsize car,9.5,23,32,26,8,yes
NISSAN Altima,2.5,(4 cyl),Auto-AV,2WD,Gasoline,CA,S2,8NSXV02.585A,small car,9.5,23,31,26,8,yes
NISSAN Altima,2.5,(4 cyl),Man-6,2WD,Gasoline,CA,S2,8NSXV02.585A,small car,9.5,23,32,26,8,yes
NISSAN Altima,3.5,(6 cyl),Auto-AV,2WD,Gasoline,CA,U2,8NSXV03.5G7B,midsize car,7,19,26,22,6,yes
NISSAN Altima,3.5,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8NSXV03.5G7B,midsize car,7,19,27,22,6,yes
NISSAN Altima,3.5,(6 cyl),Auto-AV,2WD,Gasoline,CA,U2,8NSXV03.5G7B,small car,7,19,26,22,6,yes
NISSAN Altima,3.5,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8NSXV03.5G7B,small car,7,19,27,22,6,yes
NISSAN Altima,2.5,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8NSXV02.5G5A,midsize car,6,23,31,26,8,yes
NISSAN Altima,2.5,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8NSXV02.5G5A,midsize car,6,23,32,26,8,yes
NISSAN Altima,2.5,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8NSXV02.5G5A,small car,6,23,31,26,8,yes
NISSAN Altima,2.5,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8NSXV02.5G5A,small car,6,23,32,26,8,yes
NISSAN Altima,2.5,(4 cyl),Auto-AV,2WD,Gasoline,CA,L2,8NSXV02.5G5A,midsize car,6,23,31,26,8,yes
NISSAN Altima,2.5,(4 cyl),Man-6,2WD,Gasoline,CA,L2,8NSXV02.5G5A,midsize car,6,23,32,26,8,yes
NISSAN Altima,2.5,(4 cyl),Auto-AV,2WD,Gasoline,CA,L2,8NSXV02.5G5A,small car,6,23,31,26,8,yes
NISSAN Altima,2.5,(4 cyl),Man-6,2WD,Gasoline,CA,L2,8NSXV02.5G5A,small car,6,23,32,26,8,yes
NISSAN Altima Hybrid,2.5,(4 cyl),Auto-AV,2WD,Gasoline,CA,S2,8NSXV02.5G3A,midsize car,9.5,35,33,34,9,yes
NISSAN Frontier,2.5,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8NSXT02.5G5A,pickup,7,19,23,21,6,yes
NISSAN Maxima,3.5,(6 cyl),Auto-AV,2WD,Gasoline,CA,U2,8NSXV03.5G7A,midsize car,7,19,25,21,6,yes
NISSAN Rogue,2.5,(4 cyl),Auto-AV,2WD,Gasoline,CA,S2,8NSXT02.585A,SUV,9,22,27,24,7,yes
NISSAN Rogue,2.5,(4 cyl),Auto-AV,4WD,Gasoline,CA,S2,8NSXT02.585A,SUV,9,21,26,23,7,yes
NISSAN Rogue,2.5,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8NSXT02.5G5B,SUV,6,22,27,24,7,yes
NISSAN Rogue,2.5,(4 cyl),Auto-AV,4WD,Gasoline,FA,B5,8NSXT02.5G5B,SUV,6,21,26,23,7,yes
NISSAN Rogue,2.5,(4 cyl),Auto-AV,2WD,Gasoline,CA,L2,8NSXT02.5G5B,SUV,6,22,27,24,7,yes
NISSAN Rogue,2.5,(4 cyl),Auto-AV,4WD,Gasoline,CA,L2,8NSXT02.5G5B,SUV,6,21,26,23,7,yes
NISSAN Sentra,2,(4 cyl),Man-6,2WD,Gasoline,CA,U2,8NSXV02.0G2A,midsize car,7,24,31,27,8,yes
NISSAN Sentra,2,(4 cyl),Auto-AV,2WD,Gasoline,CA,U2,8NSXV02.0G2A,midsize car,7,25,33,28,8,yes
NISSAN Sentra,2,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8NSXV02.0G2A,midsize car,6,24,31,27,8,yes
NISSAN Sentra,2,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8NSXV02.0G2A,midsize car,6,25,33,28,8,yes
NISSAN Sentra,2.5,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8NSXV02.5G5B,midsize car,6,21,29,24,7,yes
NISSAN Sentra,2.5,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8NSXV02.5G5B,midsize car,6,24,30,26,8,yes
NISSAN Sentra,2.5,(4 cyl),Man-6,2WD,Gasoline,CA,L2,8NSXV02.5G5B,midsize car,6,21,29,24,7,yes
NISSAN Sentra,2.5,(4 cyl),Auto-AV,2WD,Gasoline,CA,L2,8NSXV02.5G5B,midsize car,6,24,30,26,8,yes
NISSAN Versa,1.8,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8NSXV01.8G1A,midsize car,7,24,32,27,8,yes
NISSAN Versa,1.8,(4 cyl),Man-6,2WD,Gasoline,CA,U2,8NSXV01.8G1A,midsize car,7,26,31,28,8,yes
NISSAN Versa,1.8,(4 cyl),Auto-AV,2WD,Gasoline,CA,U2,8NSXV01.8G1A,midsize car,7,27,33,29,8,yes
NISSAN Versa,1.8,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8NSXV01.8G1A,midsize car,6,24,32,27,8,yes
NISSAN Versa,1.8,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8NSXV01.8G1A,midsize car,6,26,31,28,8,yes
NISSAN Versa,1.8,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8NSXV01.8G1A,midsize car,6,27,33,29,8,yes
PONTIAC G5,2.2,(4 cyl),Auto-L4,2WD,Gasoline,CA,SLEV,8GMXV02.2030,small car,9.5,22,31,26,8,yes
PONTIAC G5,2.2,(4 cyl),Man-5,2WD,Gasoline,CA,SLEV,8GMXV02.2030,small car,9.5,24,33,27,8,yes
PONTIAC G5,2.2,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4025,small car,6,22,31,26,8,yes
PONTIAC G5,2.2,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8GMXV02.4025,small car,6,24,33,27,8,yes
PONTIAC G5,2.2,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8GMXV02.4025,small car,6,22,31,26,8,yes
PONTIAC G5,2.2,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8GMXV02.4025,small car,6,24,33,27,8,yes
PONTIAC G5,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4025,small car,6,22,31,25,7,yes
PONTIAC G5,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8GMXV02.4025,small car,6,22,32,26,8,yes
PONTIAC G5,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8GMXV02.4025,small car,6,22,31,25,7,yes
PONTIAC G5,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8GMXV02.4025,small car,6,22,32,26,8,yes
PONTIAC G6,3.5,(6 cyl),Auto-S4,2WD,Gasoline,CA,U2,8GMXV03.5043,small car,7,17,26,20,6,yes
PONTIAC G6,3.5,(6 cyl),Auto-L4,2WD,Gasoline,CA,U2,8GMXV03.5043,small car,7,18,29,22,6,yes
PONTIAC G6,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4027,small car,6,22,30,25,7,yes
PONTIAC G6,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8GMXV02.4027,small car,6,22,30,25,7,yes
PONTIAC Grand Prix,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CA,SLEV,8GMXV03.8044,midsize car,9.5,18,28,21,6,yes
PONTIAC Pursuit,2.2,(4 cyl),Auto-L4,2WD,Gasoline,CA,SLEV,8GMXV02.2030,small car,9.5,22,31,26,8,yes
PONTIAC Pursuit,2.2,(4 cyl),Man-5,2WD,Gasoline,CA,SLEV,8GMXV02.2030,small car,9.5,24,33,27,8,yes
PONTIAC Pursuit,2.2,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4025,small car,6,22,31,26,8,yes
PONTIAC Pursuit,2.2,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8GMXV02.4025,small car,6,24,33,27,8,yes
PONTIAC Pursuit,2.2,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8GMXV02.4025,small car,6,22,31,26,8,yes
PONTIAC Pursuit,2.2,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8GMXV02.4025,small car,6,24,33,27,8,yes
PONTIAC Pursuit,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4025,small car,6,22,31,25,7,yes
PONTIAC Pursuit,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8GMXV02.4025,small car,6,22,32,26,8,yes
PONTIAC Pursuit,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8GMXV02.4025,small car,6,22,31,25,7,yes
PONTIAC Pursuit,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8GMXV02.4025,small car,6,22,32,26,8,yes
PONTIAC Vibe,1.8,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8NTXV01.8BEA,station wagon,7,25,31,27,8,yes
PONTIAC Vibe,1.8,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8NTXV01.8BEA,station wagon,7,26,33,29,8,yes
PONTIAC Vibe,1.8,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8NTXV01.8BEA,station wagon,6,25,31,27,8,yes
PONTIAC Vibe,1.8,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8NTXV01.8BEA,station wagon,6,26,33,29,8,yes
PORSCHE Boxster,2.7,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8PRXV03.4C87,small car,7,19,26,21,6,yes
PORSCHE Boxster,2.7,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8PRXV03.4C87,small car,7,19,28,22,6,yes
PORSCHE Boxster,2.7,(6 cyl),Man-5,2WD,Gasoline,CA,U2,8PRXV03.4C87,small car,7,20,29,23,7,yes
PORSCHE Boxster,2.7,(6 cyl),Man-5,2WD,Gasoline,FA,B5,8PRXV03.4C87,small car,6,20,29,23,7,yes
PORSCHE Boxster S,3.4,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8PRXV03.4C87,small car,7,18,25,21,6,yes
PORSCHE Boxster S,3.4,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8PRXV03.4C87,small car,7,18,26,21,6,yes
PORSCHE Cayman,2.7,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8PRXV03.4C87,small car,7,19,26,21,6,yes
PORSCHE Cayman,2.7,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8PRXV03.4C87,small car,7,19,28,22,6,yes
PORSCHE Cayman,2.7,(6 cyl),Man-5,2WD,Gasoline,CA,U2,8PRXV03.4C87,small car,7,20,29,23,7,yes
PORSCHE Cayman,2.7,(6 cyl),Man-5,2WD,Gasoline,FA,B5,8PRXV03.4C87,small car,6,20,29,23,7,yes
PORSCHE Cayman S,3.4,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8PRXV03.4C87,small car,7,18,25,21,6,yes
PORSCHE Cayman S,3.4,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8PRXV03.4C87,small car,7,18,26,21,6,yes
SAAB 9-3 Sport Sedan,2,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8GMXV02.3001,small car,6,19,29,23,7,yes
SAAB 9-3 Sport Sedan,2,(4 cyl),Man-6,2WD,Gasoline,CA,L2,8GMXV02.3001,small car,6,19,29,23,7,yes
SAAB 9-3 Sportcombi,2,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8GMXV02.3001,station wagon,6,19,29,23,7,yes
SAAB 9-3 Sportcombi,2,(4 cyl),Man-6,2WD,Gasoline,CA,L2,8GMXV02.3001,station wagon,6,19,29,23,7,yes
SATURN Aura,3.5,(6 cyl),Auto-L4,2WD,Gasoline,CA,U2,8GMXV03.5043,midsize car,7,18,29,22,6,yes
SATURN Aura,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4027,midsize car,6,22,30,25,7,yes
SATURN Aura,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8GMXV02.4027,midsize car,6,22,30,25,7,yes
SATURN Aura Hybrid,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4040,midsize car,6,24,32,27,8,yes
SATURN Aura Hybrid,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8GMXV02.4040,midsize car,6,24,32,27,8,yes
SATURN Vue,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FC,B4,8GMXT02.4124,SUV,7,19,26,22,6,yes
SATURN Vue Hybrid,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FC,B4,8GMXT02.4135,SUV,7,25,32,28,8,yes
SUBARU Forester,2.5,(4 cyl),Auto-L4,4WD,Gasoline,CA,S2,8FJXB02.5NVD,SUV,9.5,20,26,22,6,yes
SUBARU Forester,2.5,(4 cyl),Man-5,4WD,Gasoline,CA,S2,8FJXB02.5NVD,SUV,9.5,20,27,22,6,yes
SUBARU Legacy,2.5,(4 cyl),Man-5,4WD,Gasoline,CA,S2,8FJXB02.5NVD,small car,9.5,20,27,22,6,yes
SUBARU Legacy,2.5,(4 cyl),Auto-S4,4WD,Gasoline,CA,S2,8FJXB02.5NVD,small car,9.5,20,27,22,6,yes
SUBARU Outback Wagon,2.5,(4 cyl),Man-5,4WD,Gasoline,CA,S2,8FJXB02.5NVD,SUV,9.5,19,26,22,6,yes
SUBARU Outback Wagon,2.5,(4 cyl),Auto-S4,4WD,Gasoline,CA,S2,8FJXB02.5NVD,SUV,9.5,20,26,22,6,yes
SUZUKI Forenza,2,(4 cyl),Auto-4,2WD,Gasoline,FC,U2,8GDXV02.0D04,small car,7,19,28,22,6,yes
SUZUKI Forenza,2,(4 cyl),Man-5,2WD,Gasoline,FC,U2,8GDXV02.0D04,small car,7,20,28,23,7,yes
SUZUKI Forenza,2,(4 cyl),Man-5,2WD,Gasoline,FC,B5,8GDXV02.0D04,small car,6,20,28,23,7,yes
SUZUKI Forenza Wagon,2,(4 cyl),Auto-4,2WD,Gasoline,FC,U2,8GDXV02.0D04,station wagon,7,19,27,22,6,yes
SUZUKI Forenza Wagon,2,(4 cyl),Man-5,2WD,Gasoline,FC,U2,8GDXV02.0D04,station wagon,7,19,27,22,6,yes
SUZUKI Reno,2,(4 cyl),Auto-4,2WD,Gasoline,FC,U2,8GDXV02.0D04,small car,7,19,28,22,6,yes
SUZUKI Reno,2,(4 cyl),Man-5,2WD,Gasoline,FC,U2,8GDXV02.0D04,small car,7,20,28,23,7,yes
SUZUKI Reno,2,(4 cyl),Man-5,2WD,Gasoline,FC,B5,8GDXV02.0D04,small car,6,20,28,23,7,yes
SUZUKI SX4,2,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8SKXV1.995D1,small car,6,22,30,25,7,yes
SUZUKI SX4,2,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8SKXV1.995D1,small car,6,23,31,26,8,yes
SUZUKI SX4,2,(4 cyl),Man-5,4WD,Gasoline,FA,B5,8SKXV1.995D1,station wagon,6,21,28,24,7,yes
SUZUKI SX4,2,(4 cyl),Auto-L4,4WD,Gasoline,FA,B5,8SKXV1.995D1,station wagon,6,21,28,24,7,yes
SUZUKI SX4,2,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8SKXV1.995D1,station wagon,6,22,30,25,7,yes
SUZUKI SX4,2,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8SKXV1.995D1,station wagon,6,22,30,25,7,yes
SUZUKI SX4,2,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8SKXV1.995D1,small car,6,22,30,25,7,yes
SUZUKI SX4,2,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8SKXV1.995D1,small car,6,23,31,26,8,yes
SUZUKI SX4,2,(4 cyl),Man-5,4WD,Gasoline,CA,L2,8SKXV1.995D1,station wagon,6,21,28,24,7,yes
SUZUKI SX4,2,(4 cyl),Auto-L4,4WD,Gasoline,CA,L2,8SKXV1.995D1,station wagon,6,21,28,24,7,yes
SUZUKI SX4,2,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8SKXV1.995D1,station wagon,6,22,30,25,7,yes
SUZUKI SX4,2,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8SKXV1.995D1,station wagon,6,22,30,25,7,yes
TOYOTA Avalon,3.5,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8TYXV03.5BEA,large car,7,19,28,22,6,yes
TOYOTA Camry,2.4,(4 cyl),Auto-L5,2WD,Gasoline,CA,S2,8TYXV02.4HX2,midsize car,9.5,21,31,25,7,yes
TOYOTA Camry,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8TYXV02.4BEA,midsize car,7,21,31,25,7,yes
TOYOTA Camry,2.4,(4 cyl),Auto-L5,2WD,Gasoline,CA,U2,8TYXV02.4BEA,midsize car,7,21,31,25,7,yes
TOYOTA Camry,3.5,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8TYXV03.5BEA,midsize car,7,19,28,22,6,yes
TOYOTA Camry,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8TYXV02.4BEA,midsize car,6,21,31,25,7,yes
TOYOTA Camry,2.4,(4 cyl),Auto-L5,2WD,Gasoline,FA,B5,8TYXV02.4BEA,midsize car,6,21,31,25,7,yes
TOYOTA Camry Hybrid,2.4,(4 cyl),Auto-AV,2WD,Gasoline,CA,S2,8TYXV02.4HC3,midsize car,9.5,33,34,34,9,yes
TOYOTA Camry Hybrid,2.4,(4 cyl),Auto-AV,2WD,Gasoline,FA,B3,8TYXV02.4HC3,midsize car,8,33,34,34,9,yes
TOYOTA Corolla,1.8,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8TYXV01.8BEA,small car,7,26,35,29,8,yes
TOYOTA Corolla,1.8,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8TYXV01.8BEA,small car,7,28,37,31,9,yes
TOYOTA Corolla,1.8,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8TYXV01.8BEA,small car,6,26,35,29,8,yes
TOYOTA Corolla,1.8,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8TYXV01.8BEA,small car,6,28,37,31,9,yes
TOYOTA Highlander,3.5,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,8TYXT03.5BEM,SUV,7,18,24,20,6,yes
TOYOTA Highlander Hybrid,3.3,(6 cyl),Auto-AV,4WD,Gasoline,CA,S2,8TYXT03.3CC4,SUV,9,27,25,26,8,yes
TOYOTA Highlander Hybrid,3.3,(6 cyl),Auto-AV,4WD,Gasoline,FA,B3,8TYXT03.3CC4,SUV,8,27,25,26,8,yes
TOYOTA Matrix,1.8,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8TYXV01.8BEA,station wagon,7,25,31,27,8,yes
TOYOTA Matrix,1.8,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8TYXV01.8BEA,station wagon,7,26,33,29,8,yes
TOYOTA Matrix,1.8,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8TYXV01.8BEA,station wagon,6,25,31,27,8,yes
TOYOTA Matrix,1.8,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8TYXV01.8BEA,station wagon,6,26,33,29,8,yes
TOYOTA Prius,1.5,(4 cyl),Auto-AV,2WD,Gasoline,CA,S2,8TYXV01.5HC3,midsize car,9.5,48,45,46,10,yes
TOYOTA Prius,1.5,(4 cyl),Auto-AV,2WD,Gasoline,FA,B3,8TYXV01.5HC3,midsize car,8,48,45,46,10,yes
TOYOTA RAV4,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8TYXT02.4BEH,SUV,7,21,27,24,7,yes
TOYOTA RAV4,2.4,(4 cyl),Auto-L4,4WD,Gasoline,CA,U2,8TYXT02.4BEM,SUV,7,20,25,22,6,yes
TOYOTA RAV4,3.5,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8TYXT03.5BEM,SUV,7,19,27,22,6,yes
TOYOTA RAV4,3.5,(6 cyl),Auto-L5,4WD,Gasoline,CA,U2,8TYXT03.5BEM,SUV,7,19,26,21,6,yes
TOYOTA RAV4,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8TYXT02.4BEH,SUV,6,21,27,24,7,yes
TOYOTA Scion TC,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8TYXV02.4BEB,small car,7,20,27,23,7,yes
TOYOTA Scion TC,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8TYXV02.4BEB,small car,7,21,29,24,7,yes
TOYOTA Scion TC,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8TYXV02.4BEB,small car,6,20,27,23,7,yes
TOYOTA Scion TC,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8TYXV02.4BEB,small car,6,21,29,24,7,yes
TOYOTA Scion XB,2.4,(4 cyl),Auto-S4,2WD,Gasoline,CA,U2,8TYXV02.4BEB,station wagon,7,22,28,24,7,yes
TOYOTA Scion XB,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8TYXV02.4BEB,station wagon,7,22,28,24,7,yes
TOYOTA Scion XB,2.4,(4 cyl),Auto-S4,2WD,Gasoline,FA,B5,8TYXV02.4BEB,station wagon,6,22,28,24,7,yes
TOYOTA Scion XB,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8TYXV02.4BEB,station wagon,6,22,28,24,7,yes
TOYOTA Scion XD,1.8,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8TYXV01.8AJA,small car,6,26,32,28,8,yes
TOYOTA Scion XD,1.8,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8TYXV01.8AJA,small car,6,27,33,29,8,yes
TOYOTA Solara,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8TYXV02.4BEA,small car,7,21,31,25,7,yes
TOYOTA Solara,2.4,(4 cyl),Auto-S5,2WD,Gasoline,CA,U2,8TYXV02.4BEA,small car,7,22,31,25,7,yes
TOYOTA Solara,3.3,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,8TYXV03.3BEA,small car,7,18,27,21,6,yes
TOYOTA Solara,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8TYXV02.4BEA,small car,6,21,31,25,7,yes
TOYOTA Solara,2.4,(4 cyl),Auto-S5,2WD,Gasoline,FA,B5,8TYXV02.4BEA,small car,6,22,31,25,7,yes
TOYOTA Solara Convertible,3.3,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,8TYXV03.3BEA,small car,7,18,26,21,6,yes
TOYOTA Yaris,1.5,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8TYXV01.5BEA,small car,7,29,35,31,9,yes
TOYOTA Yaris,1.5,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8TYXV01.5BEA,small car,7,29,36,32,9,yes
TOYOTA Yaris,1.5,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8TYXV01.5BEA,small car,6,29,35,31,9,yes
TOYOTA Yaris,1.5,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8TYXV01.5BEA,small car,6,29,36,32,9,yes
VOLKSWAGEN Eos,2,(4 cyl),Man-6,2WD,Gasoline,CA,U2,8ADXV02.0366,small car,7,21,29,24,7,yes
VOLKSWAGEN Eos,2,(4 cyl),Auto-S6,2WD,Gasoline,CA,U2,8ADXV02.0366,small car,7,21,30,24,7,yes
VOLKSWAGEN Eos,2,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8ADXV02.0366,small car,6,21,29,24,7,yes
VOLKSWAGEN Eos,2,(4 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ADXV02.0366,small car,6,21,30,24,7,yes
VOLKSWAGEN GTI,2,(4 cyl),Man-6,2WD,Gasoline,CA,U2,8ADXV02.0366,small car,7,21,29,24,7,yes
VOLKSWAGEN GTI,2,(4 cyl),Auto-S6,2WD,Gasoline,CA,U2,8ADXV02.0366,small car,7,22,29,25,7,yes
VOLKSWAGEN GTI,2,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8ADXV02.0366,small car,6,21,29,24,7,yes
VOLKSWAGEN GTI,2,(4 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ADXV02.0366,small car,6,22,29,25,7,yes
VOLKSWAGEN Jetta,2.5,(5 cyl),Man-5,2WD,Gasoline,CA,S2,8VWXV02.5257,small car,9.5,21,29,24,7,yes
VOLKSWAGEN Jetta,2.5,(5 cyl),Auto-S6,2WD,Gasoline,CA,S2,8VWXV02.5257,small car,9.5,21,29,24,7,yes
VOLKSWAGEN Jetta,2.5,(5 cyl),Man-5,2WD,Gasoline,FA,B2,8VWXV02.5257,small car,9,21,29,24,7,yes
VOLKSWAGEN Jetta,2.5,(5 cyl),Auto-S6,2WD,Gasoline,FA,B2,8VWXV02.5257,small car,9,21,29,24,7,yes
VOLKSWAGEN Jetta,2,(4 cyl),Man-6,2WD,Gasoline,CA,U2,8ADXV02.0366,small car,7,21,29,24,7,yes
VOLKSWAGEN Jetta,2,(4 cyl),Auto-S6,2WD,Gasoline,CA,U2,8ADXV02.0366,small car,7,22,29,25,7,yes
VOLKSWAGEN Jetta,2.5,(5 cyl),Man-5,2WD,Gasoline,CA,U2,8VWXV02.5253,small car,7,21,29,24,7,yes
VOLKSWAGEN Jetta,2.5,(5 cyl),Auto-S6,2WD,Gasoline,CA,U2,8VWXV02.5253,small car,7,21,29,24,7,yes
VOLKSWAGEN Jetta,2,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8ADXV02.0366,small car,6,21,29,24,7,yes
VOLKSWAGEN Jetta,2,(4 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ADXV02.0366,small car,6,22,29,25,7,yes
VOLKSWAGEN Jetta,2.5,(5 cyl),Man-5,2WD,Gasoline,FA,B5,8VWXV02.5253,small car,6,21,29,24,7,yes
VOLKSWAGEN Jetta,2.5,(5 cyl),Auto-S6,2WD,Gasoline,FA,B5,8VWXV02.5253,small car,6,21,29,24,7,yes
VOLKSWAGEN Jetta Wagon,2.5,(5 cyl),Man-5,2WD,Gasoline,CA,S2,8VWXV02.5257,station wagon,9.5,21,29,24,7,yes
VOLKSWAGEN Jetta Wagon,2.5,(5 cyl),Auto-S6,2WD,Gasoline,CA,S2,8VWXV02.5257,station wagon,9.5,21,29,24,7,yes
VOLKSWAGEN Jetta Wagon,2.5,(5 cyl),Man-5,2WD,Gasoline,FA,B2,8VWXV02.5257,station wagon,9,21,29,24,7,yes
VOLKSWAGEN Jetta Wagon,2.5,(5 cyl),Auto-S6,2WD,Gasoline,FA,B2,8VWXV02.5257,station wagon,9,21,29,24,7,yes
