Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
BMW 335ci,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,20,28,23,7,yes
BMW 335ci Convertible,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,20,28,23,7,yes
BMW 335ci Convertible,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,20,28,23,7,yes
BMW 335i,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,20,28,23,7,yes
BMW 335i,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,20,28,23,7,yes
BMW 528i,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8BMXB03.0N52,midsize car,7,20,30,24,7,yes
BMW 528i,3,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8BMXB03.0N52,midsize car,7,20,30,24,7,yes
BMW 528i,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXB03.0N52,midsize car,6,20,30,24,7,yes
BMW 528i,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXB03.0N52,midsize car,6,20,30,24,7,yes
BMW 528xi,3,(6 cyl),Man-6,4WD,Gasoline,CA,U2,8BMXB03.0N52,midsize car,7,19,28,22,6,yes
BMW 528xi,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,8BMXB03.0N52,midsize car,7,20,27,23,7,yes
BMW 528xi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXB03.0N52,midsize car,6,20,27,23,7,yes
BMW 535i,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N54,midsize car,6,20,28,23,7,yes
BMW 535i,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BMXV03.0N54,midsize car,6,20,28,23,7,yes
BMW 550i,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,U2,8BMXV04.8UL2,midsize car,7,17,25,20,6,yes
BMW 650ci,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,U2,8BMXV04.8UL2,small car,7,17,25,20,6,yes
BMW 650ci Convertible,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,U2,8BMXV04.8UL2,small car,7,17,25,20,6,yes
BMW 750i,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,U2,8BMXV04.8UL2,large car,7,17,25,20,6,yes
BMW 750li,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,U2,8BMXV04.8UL2,large car,7,17,25,20,6,yes
BMW X3,3,(6 cyl),Man-6,4WD,Gasoline,CA,U2,8BMXB03.0N52,SUV,7,18,26,21,6,yes
BMW X3,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,8BMXB03.0N52,SUV,7,19,26,22,6,yes
BMW Z4,3,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,20,30,24,7,yes
BMW Z4,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,23,31,25,7,yes
BMW Z4,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,20,30,24,7,yes
BMW Z4,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,23,31,25,7,yes
BMW Z4 Coupe,3,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,20,30,24,7,yes
BMW Z4 Coupe,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,23,31,25,7,yes
BMW Z4 Coupe,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,20,30,24,7,yes
BMW Z4 Coupe,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,23,31,25,7,yes
BUICK Allure,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CA,SLEV,8GMXV03.8044,midsize car,9.5,17,28,21,6,yes
BUICK LaCrosse,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CA,SLEV,8GMXV03.8044,midsize car,9.5,17,28,21,6,yes
CHEVROLET Aveo,1.6,(4 cyl),Auto-4,2WD,Gasoline,FC,U2,8GDXV01.6D04,small car,7,23,32,26,8,yes
CHEVROLET Aveo,1.6,(4 cyl),Man-5,2WD,Gasoline,FC,U2,8GDXV01.6D04,small car,7,24,34,27,8,yes
CHEVROLET Aveo,1.6,(4 cyl),Auto-4,2WD,Gasoline,FC,B5,8GDXV01.6D04,small car,6,23,32,26,8,yes
CHEVROLET Aveo,1.6,(4 cyl),Man-5,2WD,Gasoline,FC,B5,8GDXV01.6D04,small car,6,24,34,27,8,yes
CHEVROLET Aveo 5,1.6,(4 cyl),Auto-4,2WD,Gasoline,FC,U2,8GDXV01.6D04,small car,7,23,32,26,8,yes
CHEVROLET Aveo 5,1.6,(4 cyl),Man-5,2WD,Gasoline,FC,U2,8GDXV01.6D04,small car,7,24,34,27,8,yes
CHEVROLET Aveo 5,1.6,(4 cyl),Auto-4,2WD,Gasoline,FC,B5,8GDXV01.6D04,small car,6,23,32,26,8,yes
CHEVROLET Aveo 5,1.6,(4 cyl),Man-5,2WD,Gasoline,FC,B5,8GDXV01.6D04,small car,6,24,34,27,8,yes
CHEVROLET Classic,3.5,(6 cyl),Auto-L4,2WD,Gasoline,CA,U2,8GMXV03.5043,midsize car,7,18,28,22,6,yes
CHEVROLET Classic,2.2,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.2028,midsize car,6,21,31,25,7,yes
CHEVROLET Classic,2.2,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8GMXV02.2028,midsize car,6,21,31,25,7,yes
CHEVROLET Cobalt,2.2,(4 cyl),Auto-L4,2WD,Gasoline,CA,SLEV,8GMXV02.2030,small car,9.5,22,31,26,8,yes
CHEVROLET Cobalt,2.2,(4 cyl),Man-5,2WD,Gasoline,CA,SLEV,8GMXV02.2030,small car,9.5,24,33,27,8,yes
CHEVROLET Cobalt,2.2,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4025,small car,6,22,31,26,8,yes
CHEVROLET Cobalt,2.2,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8GMXV02.4025,small car,6,24,33,27,8,yes
CHEVROLET Cobalt,2.2,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8GMXV02.4025,small car,6,22,31,26,8,yes
CHEVROLET Cobalt,2.2,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8GMXV02.4025,small car,6,24,33,27,8,yes
CHEVROLET Cobalt,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4025,small car,6,22,31,25,7,yes
CHEVROLET Cobalt,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8GMXV02.4025,small car,6,22,32,26,8,yes
CHEVROLET Cobalt,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8GMXV02.4025,small car,6,22,31,25,7,yes
CHEVROLET Cobalt,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8GMXV02.4025,small car,6,22,32,26,8,yes
CHEVROLET Colorado,2.9,(4 cyl),Man-5,2WD,Gasoline,FC,B4,8GMXT02.9190,pickup,7,18,24,20,6,yes
CHEVROLET Colorado,2.9,(4 cyl),Auto-L4,2WD,Gasoline,FC,B4,8GMXT02.9190,pickup,7,18,24,20,6,yes
CHEVROLET Colorado,2.9,(4 cyl),Auto-L4,2WD,Gasoline,FC,B4,8GMXT02.9190,pickup,7,18,24,20,6,yes
